period,reporterDesc,partnerDesc,cmdCode,qty,altQty,netWgt,Merge_qty,primaryValue
2018,Ghana,Kuwait,7108,1.84,1.84,1.84,1.84,"$76,181.66"
2018,Ghana,Lebanon,7108,2329.05,2329.05,2329.05,2329.05,"$97,431,187.05"
2018,Ghana,Malta,7108,1.56,1.56,1.56,1.56,"$65,412.06"
2018,Ghana,Pakistan,7108,149,149,149,149,"$5,183,509.86"
2018,Ghana,Portugal,7108,6.74,6.74,6.74,6.74,"$302,478.62"
2018,Ghana,Qatar,7108,3,3,3,3,"$149,345.51"
2018,Ghana,Saudi Arabia,7108,3.81,3.81,3.81,3.81,"$15,818.97"
2018,Ghana,Sierra Leone,7108,9,9,9,9,"$393,443.45"
2018,Ghana,India,7108,73729.3,73729.3,73729.3,73729.3,"$2,860,445,527.31"
2018,Ghana,South Africa,7108,26731.4,26731.4,26731.4,26731.4,"$916,231,515.56"
2018,Ghana,Spain,7108,48.39,48.39,48.39,48.39,"$1,999,841.30"
2018,Ghana,Switzerland,7108,48681,48681,48681,48681,"$1,620,101,542.40"
2018,Ghana,Thailand,7108,2.96,2.96,2.96,2.96,"$121,967.08"
2018,Ghana,United Arab Emirates,7108,88462.913,0,88462.913,88462.913,"$508,233,844.68"
2018,Ghana,Türkiye,7108,285.99,285.99,285.99,285.99,"$12,352,908.97"
2018,Ghana,United Kingdom,7108,1.96,1.96,1.96,1.96,"$78,402.39"
2018,Ghana,USA,7108,76.09,76.09,76.09,76.09,"$3,182,657.81"
2018,Ghana,World,710812,70312.7,70312.7,70312.7,70312.7,"$647,846,299.12"
2018,Ghana,"China, Hong Kong SAR",710812,0.96,0.96,0.96,0.96,"$38,044.27"
2018,Ghana,Iceland,710812,0.28,0.28,0.28,0.28,"$11,313.49"
2018,Ghana,Malta,710812,1.56,1.56,1.56,1.56,"$65,412.06"
2018,Ghana,Saudi Arabia,710812,3.81,3.81,3.81,3.81,"$15,818.97"
2018,Ghana,India,710812,15324.5,15324.5,15324.5,15324.5,"$625,054,418.02"
2018,Ghana,United Arab Emirates,710812,54981.1,54981.1,54981.1,54981.1,"$22,640,998.04"
2018,Ghana,Türkiye,710812,0.38,0.38,0.38,0.38,"$15,995.57"
2018,Ghana,United Kingdom,710812,0.11,0.11,0.11,0.11,"$4,298.71"
2018,Ghana,World,710813,171818.963,0,171818.963,171818.963,"$5,444,725,458.64"
2018,Ghana,Australia,710813,0.3,0.3,0.3,0.3,"$12,467.59"
2018,Ghana,Belgium,710813,62.81,62.81,62.81,62.81,"$2,581,128.33"
2018,Ghana,Brazil,710813,47.35,47.35,47.35,47.35,"$1,978,182.65"
2018,Ghana,Canada,710813,1.03,1.03,1.03,1.03,"$41,956.43"
2018,Ghana,China,710813,9.26,9.26,9.26,9.26,"$37,228.06"
2018,Ghana,Denmark,710813,0.07,0.07,0.07,0.07,"$2,596.70"
2018,Ghana,Estonia,710813,0.94,0.94,0.94,0.94,"$39,696.45"
2018,Ghana,France,710813,1.8,1.8,1.8,1.8,"$77,487.22"
2018,Ghana,Germany,710813,1.02,1.02,1.02,1.02,"$42,448.75"
2018,Ghana,"China, Hong Kong SAR",710813,1459.66,1459.66,1459.66,1459.66,"$60,429,683.30"
2018,Ghana,Italy,710813,6.78,6.78,6.78,6.78,"$277,779.34"
2018,Ghana,Japan,710813,0.95,0.95,0.95,0.95,"$38,655.71"
2018,Ghana,Rep. of Korea,710813,14.45,14.45,14.45,14.45,"$597,504.80"
2018,Ghana,Kuwait,710813,1.84,1.84,1.84,1.84,"$76,181.66"
2018,Ghana,Lebanon,710813,2329.05,2329.05,2329.05,2329.05,"$97,431,187.05"
2018,Ghana,Pakistan,710813,149,149,149,149,"$5,183,509.86"
2018,Ghana,Portugal,710813,6.74,6.74,6.74,6.74,"$302,478.62"
2018,Ghana,Qatar,710813,3,3,3,3,"$149,345.51"
2018,Ghana,Sierra Leone,710813,9,9,9,9,"$393,443.45"
2018,Ghana,India,710813,58404.8,58404.8,58404.8,58404.8,"$2,235,391,109.29"
2018,Ghana,South Africa,710813,26731.4,26731.4,26731.4,26731.4,"$916,231,515.56"
2018,Ghana,Spain,710813,48.39,48.39,48.39,48.39,"$1,999,841.30"
2018,Ghana,Switzerland,710813,48681,48681,48681,48681,"$1,620,101,542.40"
2018,Ghana,Thailand,710813,2.96,2.96,2.96,2.96,"$121,967.08"
